"Accession_title","UID","Species","Length","Location"
"MK132331Amphinemura decemseta voucher 0012 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991196","Amphinemura decemseta","658","0012|Japan|insect|35.21 N 134.29 E|16-Apr-2016|D. Murranyi|910 m"
"MK132330Amphinemura decemseta voucher 0020 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991194","Amphinemura decemseta","658","0020|Japan|insect|35.21 N 134.29 E|16-Apr-2016|D. Murranyi|910 m"
"MK132329Amphinemura decemseta voucher 0032 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991192","Amphinemura decemseta","658","0032|Japan|insect|35.03 N 135.43 E|05-Apr-2016|D. Murranyi|150 m"
"MK132328Amphinemura decemseta voucher 0016 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991190","Amphinemura decemseta","658","0016|Japan|insect|34.14 N 134.48 E|03-Apr-2016|D. Murranyi|200 m"
"MK132327Amphinemura decemseta voucher 0015 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991188","Amphinemura decemseta","658","0015|Japan|insect|34.14 N 134.48 E|03-Apr-2016|D. Murranyi|200 m"
"MK132326Amphinemura decemseta voucher 0014 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991186","Amphinemura decemseta","658","0014|Japan|insect|34.14 N 134.48 E|03-Apr-2016|D. Murranyi|200 m"
"MK132325Amphinemura decemseta voucher 0009 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991184","Amphinemura decemseta","658","0009|Japan|insect|33.52 N 132.50 E|09-Dec-2015|D. Murranyi|230 m"
"MK132324Amphinemura decemseta voucher 0007 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991182","Amphinemura decemseta","658","0007|Japan|insect|33.28 N 132.53 E|16-Oct-2015|D. Murranyi|1170 m"
"MK132323Amphinemura decemseta voucher 0025 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991180","Amphinemura decemseta","658","0025|Japan|insect|34.09 N 133.40 E|17-Apr-2016|D. Murranyi|85 m"
"MK132322Amphinemura decemseta voucher 0017 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991178","Amphinemura decemseta","658","0017|Japan|insect|34.05 N 134.04 E|02-Apr-2016|D. Murranyi|260 m"
"MK132321Amphinemura decemseta voucher 0008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991176","Amphinemura decemseta","658","0008|Japan|insect|33.52 N 132.51 E|22-Oct-2015|D. Murranyi|330 m"
"MK132320Amphinemura decemseta voucher 0056 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991174","Amphinemura decemseta","658","0056|Japan|insect|35.21 N 134.29 E|16-Apr-2016|D. Murranyi|910 m"
"MK132319Amphinemura decemseta voucher 0019 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991172","Amphinemura decemseta","658","0019|Japan|insect|35.21 N 134.29 E|16-Apr-2016|D. Murranyi|910 m"
"MK132318Amphinemura decemseta voucher 0057 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991170","Amphinemura decemseta","658","0057|Japan|insect|33.34 N 132.56 E|16-Oct-2015|D. Murranyi|1425 m"
"MK132317Amphinemura decemseta voucher 0052 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991168","Amphinemura decemseta","658","0052|Japan|insect|33.34 N 132.56 E|16-Oct-2015|D. Murranyi|1425 m"
"MK132316Amphinemura decemseta voucher 0055 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991166","Amphinemura decemseta","658","0055|Japan|insect|33.34 N 132.56 E|16-Oct-2015|D. Murranyi|1425 m"
"MK132315Amphinemura decemseta voucher 0018 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991164","Amphinemura decemseta","658","0018|Japan|insect|33.34 N 132.56 E|16-Oct-2015|D. Murranyi|1425 m"
"MK132314Amphinemura decemseta voucher 0006 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991162","Amphinemura decemseta","658","0006|Japan|insect|33.45 N 133.09 E|15-Oct-2015|D. Murranyi|1450 m"
"HQ568995Amphinemura delosa voucher 08INHSP-379 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","313175519","Amphinemura delosa","621","08INHSP-379|USA|41.6421 N 80.9725 W|26-Jun-2006|R. E. DeWalt"
"HQ568880Amphinemura delosa voucher 08INHSP-126 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","313175289","Amphinemura delosa","658","08INHSP-126|USA|39.705 N 87.5544 W|24-Apr-2007|R. E. DeWalt"
"HQ568843Amphinemura delosa voucher 08INHSP-072 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","313175215","Amphinemura delosa","639","08INHSP-072|USA|39.7579 N 86.7807 W|30-Apr-2007|R. E. DeWalt"
"HQ568799Amphinemura delosa voucher 08INHSP-008 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","313175127","Amphinemura delosa","658","08INHSP-008|USA|36.5113 N 87.9887 W|31-Mar-2007|R. E. DeWalt"
"JN200465Amphinemura delosa voucher EPA0748 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","347362495","Amphinemura delosa","631","EPA0748|USA: Pennsylvania, Erie Co., Penn State Behrend Campus, Fourmile Creek Site 2|42.717 N 79.572 W|25-May-1990|E. C. Masteller|Boris Kondratieff"
"HQ151848Amphinemura delosa voucher 8515070226 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993394","Amphinemura delosa","541","8515070226|USA: Maryland, FR, MO, UT Little Monacacy River|39.201 N 77.4007 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151847Amphinemura delosa voucher 9115190753 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993392","Amphinemura delosa","603","9115190753|USA: Maryland, FR, UT Monacacy River|39.384 N 77.3497 W|02-May-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151846Amphinemura delosa voucher 2115190417 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993390","Amphinemura delosa","623","2115190417|USA: Maryland, FR, UT Monacacy River|39.384 N 77.3497 W|02-May-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151845Amphinemura delosa voucher 9115160110 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993388","Amphinemura delosa","625","9115160110|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.2812 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151844Amphinemura delosa voucher 1115160457 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993386","Amphinemura delosa","502","1115160457|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.2812 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151843Amphinemura delosa voucher 4215130391 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993384","Amphinemura delosa","572","4215130391|USA: Maryland, BA|39.597 N 76.6758 W|02-May-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151842Amphinemura delosa voucher 9115020781 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993382","Amphinemura delosa","558","9115020781|USA: Maryland, MO|39.111 N 77.29 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151841Amphinemura delosa voucher 7615160947 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993380","Amphinemura delosa","589","7615160947|USA: Maryland, FR, MO|39.251 N 77.2812 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151840Amphinemura delosa voucher 6115020121 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993378","Amphinemura delosa","587","6115020121|USA: Maryland, MO|39.111 N 77.29 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151839Amphinemura delosa voucher 3615160815 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993376","Amphinemura delosa","575","3615160815|USA: Maryland, FR, MO|39.251 N 77.2812 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151838Amphinemura delosa voucher 5515070635 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993374","Amphinemura delosa","494","5515070635|USA: Maryland, FR, MO|39.201 N 77.4007 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151837Amphinemura delosa voucher 4415110127 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993372","Amphinemura delosa","551","4415110127|USA: Maryland, BA, HA|39.606 N 76.5913 W|14-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151836Amphinemura delosa voucher 7315020903 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993370","Amphinemura delosa","559","7315020903|USA: Maryland, MO|39.111 N 77.29 W|26-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151835Amphinemura delosa voucher 4315000232 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993368","Amphinemura delosa","568","4315000232|USA: Maryland|28-Apr-2006|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151834Amphinemura delosa voucher 9115020420 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993366","Amphinemura delosa","577","9115020420|USA: Maryland, MO, UT, Seneca Creek|39.111 N 77.29 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151833Amphinemura delosa voucher 8115070583 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993364","Amphinemura delosa","592","8115070583|USA: Maryland, FR, MO, UT Little Monacacy River|39.201 N 77.401 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151832Amphinemura delosa voucher 7515160241 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993362","Amphinemura delosa","578","7515160241|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.281 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151831Amphinemura delosa voucher 7515020278 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993360","Amphinemura delosa","566","7515020278|USA: Maryland, MO, UT, Seneca Creek|39.111 N 77.29 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151830Amphinemura delosa voucher 7215160396 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993358","Amphinemura delosa","573","7215160396|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.281 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151829Amphinemura delosa voucher 6115070860 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993356","Amphinemura delosa","582","6115070860|USA: Maryland, FR, MO, UT Little Monacacy River|39.201 N 77.401 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151828Amphinemura delosa voucher 2115070332 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993354","Amphinemura delosa","568","2115070332|USA: Maryland, FR, MO, UT Little Monacacy River|39.201 N 77.401 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151827Amphinemura delosa voucher 1115190838 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993352","Amphinemura delosa","432","1115190838|USA: Maryland, FR, UT Monacacy River|39.384 N 77.35 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151826Amphinemura delosa voucher 4615160597 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993350","Amphinemura delosa","577","4615160597|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.281 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151825Amphinemura delosa voucher 4315190571 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993348","Amphinemura delosa","574","4315190571|USA: Maryland, FR, UT Monacacy River|39.384 N 77.35 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151824Amphinemura delosa voucher 3915190304 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993346","Amphinemura delosa","569","3915190304|USA: Maryland, FR, UT Monacacy River|39.384 N 77.35 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"HQ151823Amphinemura delosa voucher 2815160754 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","316993344","Amphinemura delosa","574","2815160754|USA: Maryland, FR, MO, UT Little Bennett Creek|39.251 N 77.281 W|Maryland-Dept Natural Resources|Istvan Turcsanyi"
"MK132348Amphinemura dentifera voucher 0034 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991230","Amphinemura dentifera","658","0034|Japan|insect|36.09 N 137.37 E|08-Apr-2016|D. Murranyi|1350 m"
"MK132347Amphinemura dentifera voucher 0033 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991228","Amphinemura dentifera","658","0033|Japan|insect|36.09 N 137.37 E|08-Apr-2016|D. Murranyi|1350 m"
"MK132370Amphinemura flavostigma voucher 0035 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991274","Amphinemura flavostigma","658","0035|Japan|insect|33.32 N 132.56 E|20-May-2016|D. Murranyi|900 m"
"MK132369Amphinemura flavostigma voucher 0037 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991272","Amphinemura flavostigma","658","0037|Japan|insect|33.32 N 132.56 E|20-May-2016|D. Murranyi|900 m"
"MK132368Amphinemura flavostigma voucher 0036 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991270","Amphinemura flavostigma","658","0036|Japan|insect|33.44 N 132.58 E|05-Aug-2015|D. Murranyi|870 m"
"MT407223Amphinemura guadarramensis voucher INV06379 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1897352147","Amphinemura guadarramensis","658","INV06379|Portugal: Braganca, Braganca, Franca|41.9052 N 6.7757 W|19-May-2018|Sonia Ferreira, Martin Corley|J. M. Tierno De Figueroa"
"MK132360Amphinemura hamiornata voucher 0040 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991254","Amphinemura hamiornata","658","0040|China|insect|31.54 N 107.54 E|14-Apr-2015|L. Weihai|315 m"
"MK132359Amphinemura hamiornata voucher 0039 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991252","Amphinemura hamiornata","658","0039|China|insect|31.54 N 107.54 E|14-Apr-2015|L. Weihai|315 m"
"NC_044748Amphinemura longispina mitochondrion, complete genome","1747255557","Amphinemura longispina","15709",NA
"MH085446Amphinemura longispina mitochondrion, complete genome","1730283269","Amphinemura longispina","15709",NA
"MK132367Amphinemura longispina voucher 0045 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991268","Amphinemura longispina","658","0045|Japan|insect|37.45 N 140.05 E|10-Sep-2015|D. Murranyi|1315 m"
"MK132366Amphinemura longispina voucher 0044 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991266","Amphinemura longispina","658","0044|Japan|insect|37.45 N 140.06 E|10-Sep-2015|D. Murranyi|1205 m"
"MK132365Amphinemura longispina voucher 0042 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991264","Amphinemura longispina","658","0042|Japan|insect|33.28 N 132.55 E|16-Oct-2015|D. Murranyi|935 m"
"MK132364Amphinemura longispina voucher 0043 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991262","Amphinemura longispina","658","0043|Japan|insect|33.28 N 132.55 E|16-Oct-2015|D. Murranyi|935 m"
"MK132363Amphinemura longispina voucher 0041 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991260","Amphinemura longispina","658","0041|Japan|insect|33.33 N 132.56 E|16-Oct-2015|D. Murranyi|1335 m"
"MN850730Amphinemura mamillata isolate JUSTNE1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1786007197","Amphinemura mamillata","672","JUSTNE1"
"LC644451Amphinemura megaloba P096 mitochondrial COI gene for cytochrome oxidase subunit 1, partial cds","2086549574","Amphinemura megaloba","788","P096|Japan: Shimane, Okuizumo|2021-03-18|Masakazu Hayashi"
"LC644450Amphinemura megaloba P108 mitochondrial COI gene for cytochrome oxidase subunit 1, partial cds","2086549572","Amphinemura megaloba","788","P108|Japan: Shimane, Okuizumo|2021-03-18|Masakazu Hayashi"
"LC644449Amphinemura megaloba P076 mitochondrial COI gene for cytochrome oxidase subunit 1, partial cds","2086549570","Amphinemura megaloba","787","P076|Japan: Shimane, Unnan|2021-03-11|Masakazu Hayashi"
"MK132358Amphinemura megaloba voucher 0048 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","1548991250","Amphinemura megaloba","658","0048|Japan|insect|33.33 N 132.56 E|20-May-2016|D. Murranyi|1390 m"
