"Assay","Taxon","Name","FRmm_total","FRmm_diff","FRmm_3p","FRmm_term","FRmm_AA","FRmm_AG","FRmm_AC","FRmm_TT","FRmm_TG","FRmm_TC","FRmm_GG","FRmm_CC","FR_length","FR_Tm","FR_Tmdiff","Pmm_total","Pmm_center","Pmm_AA","Pmm_AG","Pmm_AC","Pmm_TT","Pmm_TG","Pmm_TC","Pmm_GG","Pmm_CC","P_length","P_Tm"
"LEDN","Amphinemura borealis","JX495644.1 Amphinemura borealis voucher NHMO-EPT_274 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura borealis","JX495660.1 Amphinemura borealis voucher NHMO-EPT_594 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0.2,0.3,0.2,0.1,0.2,0.3,0,0.3,0.1,0,0,20,57.1,1.8,4,0.5,0,0,0.75,0,0.25,0,0,0,18,84
"LEDN","Amphinemura bulla","NC_057056.1 Amphinemura bulla mitochondrion complete genome",13,0.230769230769231,0.307692307692308,0.153846153846154,0,0.230769230769231,0.384615384615385,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0,20,57.1,1.8,6,0.5,0,0.166666666666667,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura bulla","MW339348.1 Amphinemura bulla mitochondrion complete genome",13,0.230769230769231,0.307692307692308,0.153846153846154,0,0.230769230769231,0.384615384615385,0.0769230769230769,0.153846153846154,0.0769230769230769,0.0769230769230769,0,20,57.1,1.8,6,0.5,0,0.166666666666667,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura bulla","MK132313.1 Amphinemura bulla voucher 0002 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0,20,57.1,1.8,7,0.428571428571429,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0,0,0.142857142857143,18,84
"LEDN","Amphinemura bulla","MK132311.1 Amphinemura bulla voucher 0005 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0,0.25,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,20,57.1,1.8,6,0.5,0.166666666666667,0,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura bulla","MK132312.1 Amphinemura bulla voucher 0001 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0,0.25,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,20,57.1,1.8,6,0.5,0.166666666666667,0,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura bulla","MK132310.1 Amphinemura bulla voucher 0004 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0,0.25,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,20,57.1,1.8,6,0.5,0.166666666666667,0,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura bulla","MK132309.1 Amphinemura bulla voucher 0003 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0,0.25,0.416666666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,20,57.1,1.8,6,0.5,0.166666666666667,0,0.5,0,0.166666666666667,0.166666666666667,0,0,18,84
"LEDN","Amphinemura claviloba","NC_060429.1 Amphinemura claviloba mitochondrion complete sequence",9,0.111111111111111,0.333333333333333,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,20,57.1,1.8,7,0.428571428571429,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0.142857142857143,0,0,18,84
"LEDN","Amphinemura claviloba","MN720741.1 Amphinemura claviloba mitochondrion complete genome",9,0.111111111111111,0.333333333333333,0.222222222222222,0.111111111111111,0.222222222222222,0.222222222222222,0,0.111111111111111,0.111111111111111,0.111111111111111,0.111111111111111,20,57.1,1.8,7,0.428571428571429,0.142857142857143,0,0.428571428571429,0,0.285714285714286,0.142857142857143,0,0,18,84
"LEDN","Amphinemura decemseta","MK132316.1 Amphinemura decemseta voucher 0055 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132315.1 Amphinemura decemseta voucher 0018 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132314.1 Amphinemura decemseta voucher 0006 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0.0909090909090909,0.181818181818182,0.181818181818182,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132318.1 Amphinemura decemseta voucher 0057 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.181818181818182,0.272727272727273,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132317.1 Amphinemura decemseta voucher 0052 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.272727272727273,0,0.181818181818182,0.272727272727273,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132320.1 Amphinemura decemseta voucher 0056 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.3,0.1,0.1,0.2,0.3,0.1,0.2,0.1,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","MK132319.1 Amphinemura decemseta voucher 0019 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",10,0,0.3,0.1,0.1,0.2,0.3,0.1,0.2,0.1,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.666666666666667,0,0.333333333333333,0,0,0,18,84
"LEDN","Amphinemura decemseta","LC644448.1 Amphinemura decemseta P022 mitochondrial COI gene for cytochrome oxidase subunit 1 partial cds",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,4,0.25,0,0,0.25,0,0.5,0.25,0,0,18,84
"LEDN","Amphinemura decemseta","LC644447.1 Amphinemura decemseta P020 mitochondrial COI gene for cytochrome oxidase subunit 1 partial cds",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,2,0.5,0,0,0.5,0,0,0.5,0,0,18,84
"LEDN","Amphinemura decemseta","MK132333.1 Amphinemura decemseta voucher 0026 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132332.1 Amphinemura decemseta voucher 0013 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132330.1 Amphinemura decemseta voucher 0020 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.272727272727273,0.272727272727273,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132331.1 Amphinemura decemseta voucher 0012 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132329.1 Amphinemura decemseta voucher 0032 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132328.1 Amphinemura decemseta voucher 0016 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132327.1 Amphinemura decemseta voucher 0015 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132326.1 Amphinemura decemseta voucher 0014 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132325.1 Amphinemura decemseta voucher 0009 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132324.1 Amphinemura decemseta voucher 0007 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132323.1 Amphinemura decemseta voucher 0025 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132322.1 Amphinemura decemseta voucher 0017 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132321.1 Amphinemura decemseta voucher 0008 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132343.1 Amphinemura decemseta voucher 0030 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132342.1 Amphinemura decemseta voucher 0028 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132345.1 Amphinemura decemseta voucher 0024 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,4,0.5,0,0,0.5,0,0.25,0.25,0,0,18,84
"LEDN","Amphinemura decemseta","MK132346.1 Amphinemura decemseta voucher n016 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132338.1 Amphinemura decemseta voucher 0022 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,4,0.25,0,0,0.25,0,0.5,0.25,0,0,18,84
"LEDN","Amphinemura decemseta","MK132337.1 Amphinemura decemseta voucher 0010 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132336.1 Amphinemura decemseta voucher 0029 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132335.1 Amphinemura decemseta voucher 0021 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132334.1 Amphinemura decemseta voucher 0011 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132344.1 Amphinemura decemseta voucher n017 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132341.1 Amphinemura decemseta voucher 0023 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132340.1 Amphinemura decemseta voucher 0031 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura decemseta","MK132339.1 Amphinemura decemseta voucher 0027 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.166666666666667,0.333333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.333333333333333,0.0833333333333333,0.166666666666667,0.166666666666667,0,0,20,57.1,1.8,3,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,18,84
"LEDN","Amphinemura delosa","HQ568995.1 Amphinemura delosa voucher 08INHSP-379 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",11,0.0909090909090909,0.181818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.363636363636364,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ568880.1 Amphinemura delosa voucher 08INHSP-126 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",13,0.0769230769230769,0.307692307692308,0.153846153846154,0.0769230769230769,0.153846153846154,0.384615384615385,0,0.153846153846154,0.153846153846154,0.0769230769230769,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ568843.1 Amphinemura delosa voucher 08INHSP-072 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0,0.25,0.166666666666667,0.0833333333333333,0.166666666666667,0.416666666666667,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ568799.1 Amphinemura delosa voucher 08INHSP-008 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0,0.25,0.166666666666667,0.0833333333333333,0.166666666666667,0.416666666666667,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ151845.1 Amphinemura delosa voucher 9115160110 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0.2,0,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ151829.1 Amphinemura delosa voucher 6115070860 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ151828.1 Amphinemura delosa voucher 2115070332 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0,0.2,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","JN200465.1 Amphinemura delosa voucher EPA0748 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0.2,0,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ151825.1 Amphinemura delosa voucher 4315190571 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0.2,0,0.4,0,0.4,0,0,0,18,84
"LEDN","Amphinemura delosa","HQ151834.1 Amphinemura delosa voucher 9115020420 cytochrome oxidase subunit 1 (COI) gene partial cds mitochondrial",12,0.333333333333333,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.416666666666667,0,0.166666666666667,0.0833333333333333,0,0,20,57.1,1.8,5,0.2,0.2,0,0.4,0,0.4,0,0,0,18,84
