"Accession_title","UID","Species","Length","Location"
"KJ725168Didemnum candidum isolate GAPB2 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081895","Didemnum candidum","654","GAPB2|Palk Bay Region"
"KJ725164Didemnum candidum isolate GAASC13 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081887","Didemnum candidum","608","GAASC13|Andaman and Nicobar Islands"
"KU221193Didemnum cineraceum voucher ColBIO TL_230 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961521","Didemnum cineraceum","598","ColBIO TL_230"
"KU221192Didemnum cineraceum voucher ColBIO TL_839 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961519","Didemnum cineraceum","594","ColBIO TL_839"
"MT637984Didemnum conchyliatum isolate 11Mar19-2-28 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","2021329230","Didemnum conchyliatum","535","11Mar19-2-28|Puerto Rico|11-Mar-2019|Susanna Lopez-Legentil, Gretchen Lambert & Olivia Streit|Gretchen Lambert & Susanna Lopez-Legentil"
"MH258860Didemnum conchyliatum isolate As_111 cytochrome oxidase subunit I gene, partial cds; mitochondrial","1565452547","Didemnum conchyliatum","603","As_111|05JUN08-1-4|Bahamas|05-Jun-2008|Lopez-Legentil S, Turon X"
"MH258859Didemnum conchyliatum isolate As_108 cytochrome oxidase subunit I gene, partial cds; mitochondrial","1565452545","Didemnum conchyliatum","600","As_108|04JUN08-2-8|Bahamas|04-Jun-2008|Lopez-Legentil S, Turon X"
"MH258858Didemnum conchyliatum isolate As_101 cytochrome oxidase subunit I gene, partial cds; mitochondrial","1565452543","Didemnum conchyliatum","606","As_101|02JUN08-2-1|Bahamas|02-Jun-2008|Lopez-Legentil S, Turon X"
"MH258857Didemnum conchyliatum isolate As_94R cytochrome oxidase subunit I gene, partial cds; mitochondrial","1565452541","Didemnum conchyliatum","529","As_94R|01JUN08-2-5|Bahamas|01-Jun-2008|Lopez-Legentil S, Turon X"
"KU221219Didemnum cuculliferum voucher UF_724 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961573","Didemnum cuculliferum","605","UF_724"
"KU221199Didemnum cuculliferum voucher UF_676 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961533","Didemnum cuculliferum","605","UF_676"
"MT637936Didemnum duplicatum isolate 13Mar19-1-13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","2021329134","Didemnum duplicatum","545","13Mar19-1-13|Puerto Rico|13-Mar-2019|Susanna Lopez-Legentil, Gretchen Lambert & Olivia Streit|Gretchen Lambert & Susanna Lopez-Legentil"
"KY741541Didemnum etiolum voucher ICBT17_01 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851122","Didemnum etiolum","573","ICBT17_01|India|8.7507 N 78.2029 E|11-May-2016|Soban Akram|Dr. H. Abdul Jaffar Ali"
"KU221209Didemnum fragile voucher UF_746 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961553","Didemnum fragile","604","UF_746"
"KU221201Didemnum fragile voucher UF_839 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961537","Didemnum fragile","605","UF_839"
"KF309576Didemnum fulgens isolate ESC-DF cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","568404139","Didemnum fulgens","586","ESC-DF|Spain: L'Escala, Catalunya|30-Jan-2013|Miquel L. Legentil, Susanna Lopez-Legentil|Xavier Turon, Susanna Lopez-Legentil"
"KJ725152Didemnum fulgens isolate GAASC1 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081863","Didemnum fulgens","600","GAASC1|Andaman and Nicobar Islands"
"JX846617Didemnum fulgens cytochrome oxidase subunit I gene, partial cds; mitochondrial","410178714","Didemnum fulgens","604",NA
"KU221215Didemnum granulatum voucher UF_1408 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961565","Didemnum granulatum","604","UF_1408"
"KU221204Didemnum granulatum voucher UF_601 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961543","Didemnum granulatum","604","UF_601"
"KU221196Didemnum granulatum voucher UF_573 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961527","Didemnum granulatum","605","UF_573"
"KU221191Didemnum granulatum voucher ColBIO TL_686 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961517","Didemnum granulatum","552","ColBIO TL_686"
"KU221190Didemnum granulatum voucher ColBIO TL_671 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961515","Didemnum granulatum","548","ColBIO TL_671"
"JQ013198Didemnum granulatum strain Sri2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","371574193","Didemnum granulatum","603","Sri2"
"KP779901Didemnum granulatum cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","793959049","Didemnum granulatum","546","India|marine|Dr.G. Ananthan"
"KJ725155Didemnum granulatum isolate GAASC4 cytochrome c oxidase subunit 1 (COI) gene, partial cds; mitochondrial","663081869","Didemnum granulatum","597","GAASC4|Andaman and Nicobar Islands"
"JQ780688Didemnum granulatum haplotype HAP21 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686494","Didemnum granulatum","490","HAP21"
"JQ780687Didemnum granulatum haplotype HAP20 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686492","Didemnum granulatum","490","HAP20"
"JQ780686Didemnum granulatum haplotype HAP19 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686490","Didemnum granulatum","490","HAP19"
"JQ780685Didemnum granulatum haplotype HAP18 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686488","Didemnum granulatum","490","HAP18"
"JQ780684Didemnum granulatum haplotype HAP17 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686486","Didemnum granulatum","490","HAP17"
"JQ780683Didemnum granulatum haplotype HAP16 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686484","Didemnum granulatum","490","HAP16"
"JQ780682Didemnum granulatum haplotype HAP15 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686482","Didemnum granulatum","490","HAP15"
"JQ780681Didemnum granulatum haplotype HAP14 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686480","Didemnum granulatum","490","HAP14"
"JQ780680Didemnum granulatum haplotype HAP13 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686478","Didemnum granulatum","490","HAP13"
"JQ780679Didemnum granulatum haplotype HAP12 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686476","Didemnum granulatum","490","HAP12"
"JQ780678Didemnum granulatum haplotype HAP11 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686474","Didemnum granulatum","490","HAP11"
"JQ780677Didemnum granulatum haplotype HAP10 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686472","Didemnum granulatum","490","HAP10"
"JQ780676Didemnum granulatum haplotype HAP09 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686470","Didemnum granulatum","490","HAP09"
"JQ780675Didemnum granulatum haplotype HAP08 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686468","Didemnum granulatum","490","HAP08"
"JQ780674Didemnum granulatum haplotype HAP07 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686466","Didemnum granulatum","490","HAP07"
"JQ780673Didemnum granulatum haplotype HAP06 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686464","Didemnum granulatum","490","HAP06"
"JQ780672Didemnum granulatum haplotype HAP05 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686462","Didemnum granulatum","490","HAP05"
"JQ780671Didemnum granulatum haplotype HAP04 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686460","Didemnum granulatum","490","HAP04"
"JQ780670Didemnum granulatum haplotype HAP03 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686458","Didemnum granulatum","490","HAP03"
"JQ780669Didemnum granulatum haplotype HAP02 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686456","Didemnum granulatum","490","HAP02"
"JQ780668Didemnum granulatum haplotype HAP01 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","386686454","Didemnum granulatum","490","HAP01"
"JQ692628Didemnum incanum haplotype 5 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","378674925","Didemnum incanum","575","5|Australia|37.5 S 149.55 E|08-Apr-2010|T.Glasby"
"JQ692627Didemnum incanum haplotype 3 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","378674923","Didemnum incanum","572","3|Australia|37.5 S 149.55 E|27-Apr-2010|T.Glasby"
"JQ692626Didemnum incanum haplotype 8 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","378674921","Didemnum incanum","594","8|Australia|37.5 S 149.55 E|29-Apr-2010|T.Glasby|P.Kott"
"KU221210Didemnum ligulum voucher ColBIO TL796 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961555","Didemnum ligulum","604","ColBIO TL796"
"KU221202Didemnum ligulum voucher UF_1387 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961539","Didemnum ligulum","605","UF_1387"
"KU221200Didemnum ligulum voucher UF_694 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961535","Didemnum ligulum","585","UF_694"
"KU221198Didemnum ligulum voucher UF_613 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961531","Didemnum ligulum","604","UF_613"
"KY111418Didemnum lutarium isolate 17Jul14-1-4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1188503746","Didemnum lutarium","598","17Jul14-1-4|USA|17-Jul-2014|Susanna Lopez-Legentil, Gretchen Lambert|Gretchen Lambert"
"MZ761884Didemnum maculosum voucher Z.2015.82.8 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","2079225528","Didemnum maculosum","538","Z.2015.82.8|United Kingdom|tissue|2015|National Museums of Scotland"
"KU221225Didemnum membranaceum voucher UF_720 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961585","Didemnum membranaceum","604","UF_720"
"KU221216Didemnum membranaceum voucher UF_526 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961567","Didemnum membranaceum","605","UF_526"
"KU221213Didemnum membranaceum voucher UF_1389 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961561","Didemnum membranaceum","604","UF_1389"
"AB433971Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Manza","206725143","Didemnum molle","401","L_Manza|adult|Japan:Okinawa, Okinawajima Is., Manza|large type"
"AB433970Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Ugachi","206725141","Didemnum molle","401","L_Ugachi|adult|Japan:Okinawa, Okinawajima Is., Ugachi|large type"
"AB433969Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Sesoko3","206725139","Didemnum molle","401","L_Sesoko3|adult|Japan:Okinawa, Sesokojima Is.|large type"
"AB433968Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Sesoko2","206725137","Didemnum molle","401","L_Sesoko2|adult|Japan:Okinawa, Sesokojima Is.|large type"
"AB433967Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Sesoko1","206725135","Didemnum molle","401","L_Sesoko1|adult|Japan:Okinawa, Sesokojima Is.|large type"
"AB433966Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Seragaki3","206725133","Didemnum molle","401","L_Seragaki3|adult|Japan:Okinawa, Okinawajima Is., Seragaki|large type"
"AB433965Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Seragaki2","206725131","Didemnum molle","401","L_Seragaki2|adult|Japan:Okinawa, Okinawajima Is., Seragaki|large type"
"AB433964Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Seragaki1","206725129","Didemnum molle","401","L_Seragaki1|adult|Japan:Okinawa, Okinawajima Is., Seragaki|large type"
"AB433963Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Hirakubo2","206725127","Didemnum molle","401","W_Hirakubo2|adult|Japan:Okinawa, Ishigakijima Is., Hirakubo|white type"
"AB433962Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Hirakubo1","206725125","Didemnum molle","401","W_Hirakubo1|adult|Japan:Okinawa, Ishigakijima Is., Hirakubo|white type"
"AB433961Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Shiraho2","206725123","Didemnum molle","401","W_Shiraho2|adult|Japan:Okinawa, Ishigakijima Is., Shiraho|white type"
"AB433960Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Shiraho1","206725121","Didemnum molle","401","W_Shiraho1|adult|Japan:Okinawa, Ishigakijima Is., Shiraho|white type"
"AB433959Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Kume","206725119","Didemnum molle","401","W_Kume|adult|Japan:Okinawa, Kumejima Is., Ahrahama|white type"
"AB433958Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Ikei2","206725117","Didemnum molle","401","W_Ikei2|adult|Japan:Okinawa, Ikeijima Is.|white type"
"AB433957Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Ikei1","206725115","Didemnum molle","401","W_Ikei1|adult|Japan:Okinawa, Ikeijima Is.|white type"
"AB433956Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Odo3","206725113","Didemnum molle","401","W_Odo3|adult|Japan:Okinawa, Okinawajima Is., Odo|white type"
"AB433955Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Odo2","206725111","Didemnum molle","401","W_Odo2|adult|Japan:Okinawa, Okinawajima Is., Odo|white type"
"AB433954Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Odo1","206725109","Didemnum molle","401","W_Odo1|adult|Japan:Okinawa, Okinawajima Is., Odo|white type"
"AB433953Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Sesoko2","206725107","Didemnum molle","401","B_Sesoko2|adult|Japan:Okinawa, Sesokojima Is.|brown type"
"AB433952Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Sesoko1","206725105","Didemnum molle","401","B_Sesoko1|adult|Japan:Okinawa, Sesokojima Is.|brown type"
"AB433951Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Ikei2","206725103","Didemnum molle","401","B_Ikei2|adult|Japan:Okinawa, Ikeijima Is.|brown type"
"AB433950Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Ikei1","206725101","Didemnum molle","401","B_Ikei1|adult|Japan:Okinawa, Ikeijima Is.|brown type"
"AB433949Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Seragaki3","206725099","Didemnum molle","401","B_Seragaki3|adult|Japan:Okinawa, Okinawajima Is., Seragaki|brown type"
"AB433948Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Seragaki2","206725097","Didemnum molle","401","B_Seragaki2|adult|Japan:Okinawa, Okinawajima Is., Seragaki|brown type"
"AB433947Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Seragaki1","206725095","Didemnum molle","401","B_Seragaki1|adult|Japan:Okinawa, Okinawajima Is., Seragaki|brown type"
"AB433946Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Bise4","206725093","Didemnum molle","401","G_Bise4|adult|Japan:Okinawa, Okinawajima Is., Bise|grey type"
"AB433945Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Bise3","206725091","Didemnum molle","401","G_Bise3|adult|Japan:Okinawa, Okinawajima Is., Bise|grey type"
"AB433944Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Bise2","206725089","Didemnum molle","401","G_Bise2|adult|Japan:Okinawa, Okinawajima Is., Bise|grey type"
"AB433943Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Bise1","206725087","Didemnum molle","401","G_Bise1|adult|Japan:Okinawa, Okinawajima Is., Bise|grey type"
"AB557717Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: S_Wanlitung113","313150261","Didemnum molle","401","S_Wanlitung113|Taiwan:Kenting, Wanlitung"
"AB557716Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: S_Tiao-shi111","313150259","Didemnum molle","401","S_Tiao-shi111|Taiwan:Kenting, Tiao-shi"
"AB557715Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Gueiwan116","313150257","Didemnum molle","401","L_Gueiwan116|Taiwan:Lyudao, Gueiwan"
"AB557714Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: L_Gueiwan115","313150255","Didemnum molle","401","L_Gueiwan115|Taiwan:Lyudao, Gueiwan"
"AB557713Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: B_Nishibama106","313150253","Didemnum molle","401","B_Nishibama106|Japan:Okinawa, Akajima Is., Nishibama"
"AB557712Didemnum molle mitochondrial coxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Sesoko91","313150251","Didemnum molle","401","G_Sesoko91|Japan:Okinawa, Seokojima Is., Sesoko"
"AB499971Didemnum molle mitochondrial CoxI gene for cytochrome oxidase subunit I, partial cds, isolate: W_Zanpa","292680333","Didemnum molle","401","W_Zanpa|adult|Japan:Okinawa, Okinawajima Is., Zanpa|white type"
"AB499970Didemnum molle mitochondrial CoxI gene for cytochrome oxidase subunit I, partial cds, isolate: G_Ara Beach","292680331","Didemnum molle","401","G_Ara Beach|adult|Japan:Okinawa, Kumejima Is., Ara Beach|grey type"
"KC017430Didemnum multispirale cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","429837130","Didemnum multispirale","519","47"
"KU221223Didemnum mutabile voucher UF_691 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961581","Didemnum mutabile","604","UF_691"
"KU221207Didemnum mutabile voucher UF_689 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1045961549","Didemnum mutabile","604","UF_689"
"KR537440UNVERIFIED: Didemnum nekozita voucher DBTIC 31 cytochrome oxidase subunit I-like (COI) gene, partial sequence; mitochondrial","960498684","UNVERIFIED: Didemnum","333","DBTIC 31|India|8.7681 N 78.1972 E|09-Feb-2015|Shabeer Ahmed|Dr. H. Abdul Jaffar Ali"
"JQ731739Didemnum patulum haplotype 6 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","379987904","Didemnum patulum","532","6|Australia|37.5 S 149.55 E|Apr-2010|T.Glasby|P.Kott"
"JQ731738Didemnum patulum haplotype 4 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","379987902","Didemnum patulum","532","4|Australia|37.5 S 149.55 E|Apr-2010|T.Glasby"
"JQ731737Didemnum patulum haplotype 2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","379987900","Didemnum patulum","590","2|Australia|37.5 S 149.55 E|Apr-2010|T.Glasby|P.Kott"
"JQ731736Didemnum patulum haplotype 1 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","379987898","Didemnum patulum","585","1|Australia|37.5 S 149.55 E|Apr-2010|T.Glasby|P.Kott"
"MZ400415Didemnum perlucidum mitochondrion, partial genome","2282233612","Didemnum perlucidum","13505","Australia: Fremantle, Western Australia|24-Mar-2015|Matthew Hewitt, DPIRD|DPIRD,WA"
"MW285100Didemnum perlucidum isolate Clearwater_FL_8 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1935528966","Didemnum perlucidum","607","Clearwater_FL_8"
"MT637962Didemnum perlucidum isolate 8Mar19-1-2 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","2021329186","Didemnum perlucidum","591","8Mar19-1-2|Puerto Rico|08-Mar-2019|Susanna Lopez-Legentil, Gretchen Lambert & Olivia Streit|Gretchen Lambert & Susanna Lopez-Legentil"
"MN184710Didemnum perlucidum isolate Biosec1544 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1732262553","Didemnum perlucidum","595","Biosec1544|Australia: Abrolhos Island, Western Australia|Aug-2015"
"MH824680Didemnum perlucidum voucher ASC 100 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1498477441","Didemnum perlucidum","563","ASC 100|India|9.2856 N 79.1586 E|SHABEER AHMED|Dr. H. Abdul Jaffar Ali"
"MH824679Didemnum perlucidum voucher ASC 48 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1498477439","Didemnum perlucidum","540","ASC 48|India|9.2856 N 79.1586 E|SHABEER AHMED|Dr. H. Abdul Jaffar Ali"
"MH824678Didemnum perlucidum voucher ASC 47 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1498477437","Didemnum perlucidum","519","ASC 47|India|9.2856 N 79.1586 E|SHABEER AHMED|Dr. H. Abdul Jaffar Ali"
"MH824677Didemnum perlucidum voucher ASC 50 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1498477435","Didemnum perlucidum","529","ASC 50|India|8.786659 N 78.199097 E|SHABEER AHMED|Dr. H. Abdul Jaffar Ali"
"MH824676Didemnum perlucidum voucher ASC 49 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1498477433","Didemnum perlucidum","501","ASC 49|India|8.786659 N 78.199097 E|SHABEER AHMED|Dr. H. Abdul Jaffar Ali"
"KX650791Didemnum perlucidum voucher DBTIC171 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1104785521","Didemnum perlucidum","634","DBTIC171|India|8.7507 N 78.2029 E|09-Feb-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX650790Didemnum perlucidum voucher DBTIC170 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1104785519","Didemnum perlucidum","624","DBTIC170|India|8.7507 N 78.2029 E|09-Feb-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KU883151Didemnum perlucidum isolate JD781 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074966249","Didemnum perlucidum","595","JD781|Hap3|Colombia|2015|Maria V. Delahoz"
"KX138491Didemnum perlucidum voucher DBTIC118 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003119","Didemnum perlucidum","566","DBTIC118|India|8.7508 N 78.2024 E|14-Mar-2014|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX138490Didemnum perlucidum voucher DBTIC117 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003117","Didemnum perlucidum","610","DBTIC117|India|8.1724 N 77.2505 E|30-May-2014|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX138489Didemnum perlucidum voucher DBTIC116 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003115","Didemnum perlucidum","491","DBTIC116|India|8.1724 N 77.2505 E|30-May-2014|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX138488Didemnum perlucidum voucher DBTIC115 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003113","Didemnum perlucidum","587","DBTIC115|India|8.1724 N 77.2505 E|30-May-2014|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX138487Didemnum perlucidum voucher DBTIC114 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003111","Didemnum perlucidum","510","DBTIC114|India|9.2856 N 79.1586 E|05-Jun-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KX138486Didemnum perlucidum voucher DBTIC113 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1041003109","Didemnum perlucidum","519","DBTIC113|India|9.2856 N 79.1586 E|05-Jun-2015|Soban Akram & Kaleem Arshan|Dr. H. Abdul Jaffarali"
"KU667270Didemnum perlucidum voucher DBTIC80 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1007745349","Didemnum perlucidum","619","DBTIC80|India|8.7681 N 78.1972 E|23-Aug-2015|Dr. H. Abdul Jaffar Ali|Dr. H. Abdul Jaffar Ali"
"KR537439Didemnum perlucidum voucher DBTIC 30 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","960498682","Didemnum perlucidum","580","DBTIC 30|India|9.2800 N 79.1200 E|09-Feb-2015|Dr. H. Abdul Jaffar Ali|Dr. H. Abdul Jaffar Ali"
