"Accession_title","UID","Species","Length","Location"
"HQ428115Barbicambarus cornutus isolate 252 cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977056","Barbicambarus cornutus","630","252"
"KT759550UNVERIFIED: Cambarus acuminatus complex sp. PER002 cytochrome oxidase subunit I-like (COI) gene, partial sequence; mitochondrial","1074968476","UNVERIFIED: Cambarus","572","PER002"
"MG872907Cambarus adustus isolate JF13770 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1387180980","Cambarus adustus","613","JF13770|USA: Kentucky, Lewis County, Big Branch, in ditch adjacent KY Rt. 898|38.5393 N 83.46565 W"
"KX417093Cambarus adustus isolate JF13764 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851774","Cambarus adustus","613","form 2|JF13764|personal:Thoma Crayfish Collection:RFT-1731|Cambarus adustus Thoma, Fetzner, Stocker and Loughman, 2016|2|male|USA: KY, Lewis County, in ditch in front of Muses Church and Cemetery adjacent Quick Creek Road|38.6253 N 83.4725 W|12-Jun-2013|RF Thoma, GW Stocker"
"KX417092Cambarus adustus isolate JF13762 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851772","Cambarus adustus","613","form 1|JF13762|personal:Thoma Crayfish Collection:RFT-1729|Cambarus adustus Thoma, Fetzner, Stocker and Loughman, 2016|1|male|USA: KY, Lewis County, in ditch in front of Muses Church and Cemetery adjacent Quick Creek Road|38.6253 N 83.4725 W|12-Jun-2013|RF Thoma, GW Stocker"
"MK410967Cambarus aldermanorum voucher CALSC3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1725293873","Cambarus aldermanorum","596","CALSC3"
"MK410967Cambarus aldermanorum voucher CALSC3 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1725293873","Cambarus aldermanorum","596","CALSC3"
"KF437319Cambarus angularis isolate 1 voucher ZJL109 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688914","Cambarus angularis","599","1|ZJL109|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437318Cambarus angularis isolate 2 voucher ZJL107 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688912","Cambarus angularis","599","2|ZJL107|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437317Cambarus angularis isolate 4 voucher ZJL114 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688910","Cambarus angularis","599","4|ZJL114|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437316Cambarus angularis isolate 3 voucher ZJL113 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688908","Cambarus angularis","599","3|ZJL113|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437319Cambarus angularis isolate 1 voucher ZJL109 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688914","Cambarus angularis","599","1|ZJL109|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437318Cambarus angularis isolate 2 voucher ZJL107 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688912","Cambarus angularis","599","2|ZJL107|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437317Cambarus angularis isolate 4 voucher ZJL114 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688910","Cambarus angularis","599","4|ZJL114|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KF437316Cambarus angularis isolate 3 voucher ZJL113 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","530688908","Cambarus angularis","599","3|ZJL113|USA|Little Sycamore Creek, TN|36.4423 N 83.5101 W|06-Jul-2012|Z. Loughman, M. Lucero, R. Fagundo, K. Skalican, N. Taylor|Z. Loughman"
"KX417097Cambarus asperimanus isolate JF11041 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851782","Cambarus asperimanus","658","form 2|JF11041|personal:Thoma Crayfish Collection:RFT-036|Cambarus asperimanus Faxon, 1914|1|male|USA: NC, Avery County, Watauga River adjacent to Grandfather Mountain State Park Profile Trail and NC Rt. 105, downstream parking lot|36.0947 N 81.8560 W|24-Apr-2011|RF Thoma, J Pope, S Fraley, T Ewing"
"JX514492Cambarus asperimanus voucher KC2011 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052723","Cambarus asperimanus","555","KC2011"
"MN902187Cambarus bartonii voucher Cr18-34 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1789808615","Cambarus bartonii","658","Cr18-34|USA: Lancaster, Pennsylvania|23-May-2018"
"MN902186Cambarus bartonii voucher Cr18-33 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","1789808613","Cambarus bartonii","658","Cr18-33|USA: Lancaster, Pennsylvania|23-May-2018"
"HQ428119Cambarus bartonii cytochrome oxidase subunit I (cox1) gene, partial cds; mitochondrial","311977064","Cambarus bartonii","630",NA
"KT759646Cambarus bartonii isolate UNR003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969091","Cambarus bartonii","591","UNR003"
"KT759645Cambarus bartonii isolate UNR002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969089","Cambarus bartonii","591","UNR002"
"KT759644Cambarus bartonii isolate UNR001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969087","Cambarus bartonii","591","UNR001|37.777965 N 79.495920 W|28-Apr-2014|Paul Cabe"
"KT759641Cambarus bartonii isolate TEC007 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969050","Cambarus bartonii","591","TEC007"
"KT759639Cambarus bartonii isolate TEC005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969046","Cambarus bartonii","591","TEC005"
"KT759636Cambarus bartonii isolate TEC002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074969040","Cambarus bartonii","591","TEC002|37.573809 N 79.352782 W|23-Jun-2014|Paul Cabe"
"KT759635Cambarus bartonii isolate TEC001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968995","Cambarus bartonii","441","TEC001|37.573809 N 79.352782 W|23-Jun-2014|Paul Cabe"
"KT759634Cambarus bartonii isolate STR011 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968964","Cambarus bartonii","591","STR011"
"KT759633Cambarus bartonii isolate STR010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968962","Cambarus bartonii","591","STR010"
"KT759632Cambarus bartonii isolate STR009 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968960","Cambarus bartonii","591","STR009"
"KT759631Cambarus bartonii isolate STR008 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968958","Cambarus bartonii","591","STR008"
"KT759630Cambarus bartonii isolate STR-007 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968956","Cambarus bartonii","591","STR-007"
"KT759629Cambarus bartonii isolate STR-006 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968954","Cambarus bartonii","591","STR-006"
"KT759628Cambarus bartonii isolate STR-005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968952","Cambarus bartonii","591","STR-005"
"KT759627Cambarus bartonii isolate STR004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968950","Cambarus bartonii","591","STR004"
"KT759626Cambarus bartonii isolate STR003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968948","Cambarus bartonii","591","STR003"
"KT759625Cambarus bartonii isolate STR-002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968946","Cambarus bartonii","591","STR-002"
"KT759624Cambarus bartonii isolate STR-001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968944","Cambarus bartonii","591","STR-001|37.982092 N 79.074185 W|16-Jul-2013|Paul Cabe"
"KT759590Cambarus bartonii isolate SMR002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968715","Cambarus bartonii","591","SMR002"
"KT759552Cambarus bartonii isolate PER005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968479","Cambarus bartonii","572","PER005"
"KT759544Cambarus bartonii isolate NFTR002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968437","Cambarus bartonii","590","NFTR002"
"KT759542Cambarus bartonii isolate MOR014 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968410","Cambarus bartonii","591","MOR014"
"KT759539Cambarus bartonii isolate MOR010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968404","Cambarus bartonii","591","MOR010"
"KT759517Cambarus bartonii isolate HAC015 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968201","Cambarus bartonii","591","HAC015"
"KT759488Cambarus bartonii isolate COR-010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968059","Cambarus bartonii","590","COR-010"
"KT759487Cambarus bartonii isolate COR-009 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968057","Cambarus bartonii","590","COR-009"
"KT759486Cambarus bartonii isolate COR008 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968055","Cambarus bartonii","590","COR008"
"KT759485Cambarus bartonii isolate COR-007 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968053","Cambarus bartonii","590","COR-007"
"KT759484Cambarus bartonii isolate COR-005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968051","Cambarus bartonii","590","COR-005"
"KT759483Cambarus bartonii isolate COR-004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968049","Cambarus bartonii","590","COR-004"
"KT759482Cambarus bartonii isolate COR003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968047","Cambarus bartonii","590","COR003"
"KT759481Cambarus bartonii isolate COR-002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968045","Cambarus bartonii","590","COR-002"
"KT759480Cambarus bartonii isolate COR-001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074968043","Cambarus bartonii","590","COR-001|37.980241 N 79.028425 W|16-Jul-2013|Paul Cabe"
"KT759473Cambarus bartonii isolate BMC-CC-002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967928","Cambarus bartonii","596","BMC-CC-002|37.874473 N 79.214127 W|07-Jun-2014|Paul Cabe"
"KT759472Cambarus bartonii isolate BMC1-1002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967893","Cambarus bartonii","601","BMC1-1002"
"KT759471Cambarus bartonii isolate BMC1-1001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967891","Cambarus bartonii","600","BMC1-1001"
"KT759469Cambarus bartonii isolate BMC-1-005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967887","Cambarus bartonii","601","BMC-1-005"
"KT759468Cambarus bartonii isolate BMC-1-004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967885","Cambarus bartonii","601","BMC-1-004"
"KT759467Cambarus bartonii isolate BMC-1-003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967883","Cambarus bartonii","601","BMC-1-003"
"KT759466Cambarus bartonii isolate BMC-1-002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967881","Cambarus bartonii","601","BMC-1-002"
"KT759465Cambarus bartonii isolate BMC-1-001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967879","Cambarus bartonii","601","BMC-1-001|37.868420 N 79.172776 W|17-Jun-2013|Paul Cabe"
"KT759464Cambarus bartonii isolate BMC-1-1-003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967846","Cambarus bartonii","477","BMC-1-1-003|37.868420 N 79.172776 W|17-Jun-2013|Paul Cabe"
"KT759452Cambarus bartonii isolate SPR008 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967768","Cambarus bartonii","602","SPR008"
"KT759451Cambarus bartonii isolate SPR007 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967766","Cambarus bartonii","602","SPR007"
"KT759449Cambarus bartonii isolate SPR005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967762","Cambarus bartonii","602","SPR005"
"KT759448Cambarus bartonii isolate SPR004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967760","Cambarus bartonii","602","SPR004"
"KT759446Cambarus bartonii isolate SPR002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967756","Cambarus bartonii","601","SPR002"
"KT759444Cambarus bartonii isolate PIB012 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967722","Cambarus bartonii","602","PIB012"
"KT759443Cambarus bartonii isolate PIB011 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967720","Cambarus bartonii","602","PIB011"
"KT759442Cambarus bartonii isolate PIB010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967718","Cambarus bartonii","602","PIB010"
"KT759441Cambarus bartonii isolate PIB009 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967716","Cambarus bartonii","602","PIB009"
"KT759440Cambarus bartonii isolate PIB008 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967714","Cambarus bartonii","602","PIB008"
"KT759439Cambarus bartonii isolate PIB007 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967712","Cambarus bartonii","602","PIB007"
"KT759438Cambarus bartonii isolate PIB006 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967710","Cambarus bartonii","602","PIB006"
"KT759437Cambarus bartonii isolate PIB005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967708","Cambarus bartonii","602","PIB005"
"KT759436Cambarus bartonii isolate PIB004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967706","Cambarus bartonii","602","PIB004"
"KT759435Cambarus bartonii isolate PIB003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967704","Cambarus bartonii","602","PIB003"
"KT759434Cambarus bartonii isolate PIB002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967702","Cambarus bartonii","602","PIB002"
"KT759433Cambarus bartonii isolate PIB001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967700","Cambarus bartonii","602","PIB001|37.978471 N 79.337773 W|29-May-2013|Paul Cabe"
"KT759426Cambarus bartonii isolate COC005 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967611","Cambarus bartonii","591","COC005|11-Jun-2014|Paul Cabe"
"KT759425Cambarus bartonii isolate COC004 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967609","Cambarus bartonii","602","COC004|11-Jun-2014|Paul Cabe"
"KT759424Cambarus bartonii isolate COC003 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967607","Cambarus bartonii","602","COC003|11-Jun-2014|Paul Cabe"
"KT759423Cambarus bartonii isolate COC002 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967605","Cambarus bartonii","602","COC002|11-Jun-2014|Paul Cabe"
"KT759422Cambarus bartonii isolate COC001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967603","Cambarus bartonii","602","COC001|37.804428 N 79.601617 W|11-Jun-2014|Paul Cabe"
"KT759421Cambarus bartonii isolate BMC-3-001 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967592","Cambarus bartonii","602","BMC-3-001|37.877391 N 79.217009 E|07-Jun-2014|Paul Cabe"
"KT759418Cambarus bartonii isolate WOC010 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","1074967569","Cambarus bartonii","602","WOC010"
"EU583574Cambarus bartonii voucher KC1388 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","197914773","Cambarus bartonii","658","KC1388"
"AY701190Cambarus bartonii cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","58917831","Cambarus bartonii","1523",NA
"KM099336Cambarus bartonii cavatus haplotype 1 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","746840934","Cambarus bartonii","651","cavatus|1"
"JX514435Cambarus bartonii bartonii voucher JF9085 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052609","Cambarus bartonii","659","JF9085|bartonii"
"KX417098Cambarus batchi isolate JF16004 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851784","Cambarus batchi","658","form 1|JF16004|Cambarus batchi Schuster, 1976|1|male|USA: KY, Madison County, burrows in field, Central Kentucky Wildlife Area, end of Bethleham Road|37.6203 N 84.2081 W|01-Oct-2015|GA Schuster"
"DQ113441Cambarus batchi cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","73695605","Cambarus batchi","549",NA
"JX514460Cambarus batchi voucher JC1278 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052659","Cambarus batchi","527","JC1278"
"JX514461Cambarus bouchardi voucher JC325 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052661","Cambarus bouchardi","344","JC325"
"DQ411783Cambarus brachydactylus cytochrome oxidase subunit I (CO1) gene, partial cds; mitochondrial","89521246","Cambarus brachydactylus","678","JF2579"
"DQ113442Cambarus brachydactylus cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","73695607","Cambarus brachydactylus","705",NA
"MZ873453Cambarus brimleyorum voucher 171120.2map.2 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","2084775213","Cambarus brimleyorum","658","171120.2map.2|USA"
"MZ873452Cambarus brimleyorum voucher 171120.2map.1 cytochrome c oxidase subunit I (COX1) gene, partial cds; mitochondrial","2084775211","Cambarus brimleyorum","658","171120.2map.1|USA"
"KY712495Cambarus buntingi voucher JF15028 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1209055288","Cambarus buntingi","658","JF15028|B3|USA: West Virginia, Webster County, Laurel Fork Holly River|37.0581 N 82.8037 W"
"KY712494Cambarus buntingi voucher JF12215 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1209055286","Cambarus buntingi","555","JF12215|B2|USA: West Virginia, Kanawha County, Twomile Creek|37.0662 N 82.7711 W"
"KY712493Cambarus buntingi voucher JF15114 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1209055284","Cambarus buntingi","658","JF15114|B1|USA: West Virginia, Hancock County, Kings Creek|36.5393 N 84.1792 W"
"KM979423Cambarus callainus haplotype 23 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218422","Cambarus callainus","658","23"
"KM979422Cambarus callainus haplotype 22 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218420","Cambarus callainus","658","22"
"KM979421Cambarus callainus haplotype 21 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218418","Cambarus callainus","658","21"
"KM979420Cambarus callainus haplotype 20 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218416","Cambarus callainus","658","20"
"KM979419Cambarus callainus haplotype 19 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218414","Cambarus callainus","658","19"
"KM979418Cambarus callainus haplotype 18 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218412","Cambarus callainus","658","18"
"KM979417Cambarus callainus haplotype 17 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218410","Cambarus callainus","658","17"
"KM979416Cambarus callainus haplotype 16 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218408","Cambarus callainus","658","16"
"KM979415Cambarus callainus haplotype 15 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218406","Cambarus callainus","658","15"
"KM979414Cambarus callainus haplotype 14 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218404","Cambarus callainus","658","14"
"KM979413Cambarus callainus haplotype 13 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218402","Cambarus callainus","658","13"
"KM979412Cambarus callainus haplotype 12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218400","Cambarus callainus","658","12"
"KM979411Cambarus callainus haplotype 11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218398","Cambarus callainus","658","11"
"KM979410Cambarus callainus haplotype 10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218396","Cambarus callainus","658","10"
"KM979409Cambarus callainus haplotype 9 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218394","Cambarus callainus","658","9"
"KM979408Cambarus callainus haplotype 8 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218392","Cambarus callainus","658","8"
"KM979407Cambarus callainus haplotype 7 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218390","Cambarus callainus","658","7"
"KM979406Cambarus callainus haplotype 6 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218388","Cambarus callainus","658","6"
"KM979405Cambarus callainus haplotype 5 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218386","Cambarus callainus","658","5"
"KM979404Cambarus callainus haplotype 4 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218384","Cambarus callainus","658","4"
"KM979403Cambarus callainus haplotype 3 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218382","Cambarus callainus","658","3"
"KM979402Cambarus callainus haplotype 2 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218380","Cambarus callainus","658","2"
"KM979401Cambarus callainus haplotype 1 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial","723218378","Cambarus callainus","658","1"
"JX514436Cambarus carinirostris voucher JF8933 cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial","409052611","Cambarus carinirostris","659","JF8933"
"KX417099Cambarus carolinus isolate JF7943 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851786","Cambarus carolinus","658","form 2|JF7943|CM:JWF-2008-46.275|Cambarus carolinus (Erichson, 1846)|1|male|USA: SC, Greenville County, Barton Creek at roadside pulloff on SR-42, 18 km NNE Travlers Rest|35.1143 N 82.3627 W|25-Oct-2008|JW Fetzner Jr, RF Thoma"
"KX417099Cambarus carolinus isolate JF7943 cytochrome c oxidase subunit I (COI) gene, partial cds; mitochondrial","1207851786","Cambarus carolinus","658","form 2|JF7943|CM:JWF-2008-46.275|Cambarus carolinus (Erichson, 1846)|1|male|USA: SC, Greenville County, Barton Creek at roadside pulloff on SR-42, 18 km NNE Travlers Rest|35.1143 N 82.3627 W|25-Oct-2008|JW Fetzner Jr, RF Thoma"
